"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0016071","mRNA metabolic process","100/1978","474/18773",0.210970464135021,2.00229955672738,7.58492765538591,6.77488753005826e-12,1.94913514239776e-08,1.72438716291378e-08,"cpsf6/ik/cdc40/isy1/bcas2/pelo/trnau1apb/dhx38/patl1/exosc8/u2af2a/exosc6/fxr1/rbm5/prpf8/sb:cb81/hnrnpa0a/cnot2/sde2/khdrbs1b/txnl4a/cdk12/zgc:158803/upf3b/tnrc6c1/pum1/cnot6a/yju2/snrpg/pqbp1/hnrnpul1/cstf3/prkrip1/ddx46/rbm4.2/cnot9/hnrnpk/cnot6b/thoc1/rprd2a/gemin8/srsf10b/dcps/samd4a/cnot3a/crnkl1/tssc4/fmr1/srsf2b/ssu72/sltm/cfap410/rbm4.3/exosc5/sf3b5/prpf18/rest/si:ch211-107m4.1/cwc25/dhx16/igf2bp2b/nsrp1/bud13/sf3b6/ptbp2b/cnot3b/srsf5b/sf3a1/slbp/pum2/srrm2/dicer1/ddx23/paxbp1/rbm6/virma/lsm3/srsf1b/cstf2/pnrc2/srek1ip1/celf1/tra2b/nudt21/ago3b/usp39/zgc:77262/hnrnpul1l/scaf11/prpf4bb/larp7/casc3/dhx37/cstf1/arglu1a/lsm4/zfp36l1b/zcrb1/qkia/dhx9",100
"GO:0006397","mRNA processing","76/1978","334/18773",0.227544910179641,2.15960596501638,7.33826522439738,5.81095579142967e-11,8.35905990597158e-08,7.3952058440405e-08,"cpsf6/ik/cdc40/isy1/bcas2/trnau1apb/dhx38/u2af2a/rbm5/prpf8/sde2/khdrbs1b/txnl4a/cdk12/zgc:158803/yju2/snrpg/pqbp1/hnrnpul1/cstf3/prkrip1/ddx46/rbm4.2/hnrnpk/thoc1/rprd2a/gemin8/srsf10b/dcps/crnkl1/tssc4/fmr1/srsf2b/ssu72/sltm/cfap410/rbm4.3/sf3b5/prpf18/rest/si:ch211-107m4.1/cwc25/dhx16/nsrp1/bud13/sf3b6/ptbp2b/srsf5b/sf3a1/slbp/srrm2/ddx23/paxbp1/rbm6/virma/lsm3/srsf1b/cstf2/srek1ip1/celf1/tra2b/nudt21/usp39/zgc:77262/hnrnpul1l/scaf11/prpf4bb/larp7/casc3/dhx37/cstf1/arglu1a/lsm4/zcrb1/qkia/dhx9",76
"GO:0048193","Golgi vesicle transport","50/1978","186/18773",0.268817204301075,2.55131717712037,7.29677300880059,2.78544342546992e-10,2.67124024502565e-07,2.3632288430829e-07,"snx12/cog4/ap1ar/exoc6/tfg/rab41/exoc1/tmed7/gosr2/copb1/sec23a/dop1b/snx1a/trappc3/kdelr2a/uso1/tex261/tmed2/trappc2l/sec22a/ap1g1/rabggtb/pef1/arcn1b/ccdc93/mia2/tmed3/cnstb/vps51/arfgap2/ankfy1/trappc4/snx3/stx5al/lman1/stx18/mia3/copa/rabif/exoc4/ap3s2/cog2/kdelr3/trappc2/rab14/trip11/ergic3/zgc:63863/golga7/blzf1",50
"GO:0008380","RNA splicing","71/1978","320/18773",0.221875,2.10579341506572,6.84689881813477,8.04991683381613e-10,5.78990268272225e-07,5.12228918530721e-07,"mbnl2/ik/cdc40/isy1/rtraf/bcas2/trnau1apb/dhx38/rtcb/u2af2a/rbm5/prpf8/tsen2/sde2/khdrbs1b/txnl4a/cdk12/zgc:158803/yju2/snrpg/pqbp1/hnrnpul1/prkrip1/ddx46/rbm4.2/hnrnpk/thoc1/gemin8/srsf10b/tsen34/crnkl1/tssc4/fmr1/srsf2b/cfap410/rbm4.3/sf3b5/prpf18/rest/si:ch211-107m4.1/cwc25/dhx16/nsrp1/bud13/sf3b6/ptbp2b/srsf5b/sf3a1/ddx23/paxbp1/rbm6/virma/lsm3/srsf1b/hnrnph1l/srek1ip1/celf1/zbtb8os/tra2b/usp39/zgc:77262/hnrnpul1l/scaf11/prpf4bb/larp7/casc3/dhx37/arglu1a/lsm4/zcrb1/qkia",71
"GO:0000375","RNA splicing, via transesterification reactions","55/1978","238/18773",0.23109243697479,2.19327518671776,6.35786358690592,1.44568802092943e-08,5.94177776601997e-06,5.25665208211635e-06,"ik/cdc40/isy1/bcas2/trnau1apb/dhx38/u2af2a/prpf8/sde2/khdrbs1b/txnl4a/zgc:158803/yju2/snrpg/pqbp1/hnrnpul1/ddx46/rbm4.2/hnrnpk/gemin8/srsf10b/crnkl1/tssc4/srsf2b/cfap410/rbm4.3/sf3b5/prpf18/rest/si:ch211-107m4.1/cwc25/nsrp1/bud13/sf3b6/srsf5b/sf3a1/ddx23/paxbp1/rbm6/lsm3/srsf1b/celf1/tra2b/usp39/zgc:77262/hnrnpul1l/scaf11/prpf4bb/larp7/casc3/dhx37/arglu1a/lsm4/zcrb1/qkia",55
"GO:0000377","RNA splicing, via transesterification reactions with bulged adenosine as nucleophile","55/1978","238/18773",0.23109243697479,2.19327518671776,6.35786358690592,1.44568802092943e-08,5.94177776601997e-06,5.25665208211635e-06,"ik/cdc40/isy1/bcas2/trnau1apb/dhx38/u2af2a/prpf8/sde2/khdrbs1b/txnl4a/zgc:158803/yju2/snrpg/pqbp1/hnrnpul1/ddx46/rbm4.2/hnrnpk/gemin8/srsf10b/crnkl1/tssc4/srsf2b/cfap410/rbm4.3/sf3b5/prpf18/rest/si:ch211-107m4.1/cwc25/nsrp1/bud13/sf3b6/srsf5b/sf3a1/ddx23/paxbp1/rbm6/lsm3/srsf1b/celf1/tra2b/usp39/zgc:77262/hnrnpul1l/scaf11/prpf4bb/larp7/casc3/dhx37/arglu1a/lsm4/zcrb1/qkia",55
"GO:0000398","mRNA splicing, via spliceosome","55/1978","238/18773",0.23109243697479,2.19327518671776,6.35786358690592,1.44568802092943e-08,5.94177776601997e-06,5.25665208211635e-06,"ik/cdc40/isy1/bcas2/trnau1apb/dhx38/u2af2a/prpf8/sde2/khdrbs1b/txnl4a/zgc:158803/yju2/snrpg/pqbp1/hnrnpul1/ddx46/rbm4.2/hnrnpk/gemin8/srsf10b/crnkl1/tssc4/srsf2b/cfap410/rbm4.3/sf3b5/prpf18/rest/si:ch211-107m4.1/cwc25/nsrp1/bud13/sf3b6/srsf5b/sf3a1/ddx23/paxbp1/rbm6/lsm3/srsf1b/celf1/tra2b/usp39/zgc:77262/hnrnpul1l/scaf11/prpf4bb/larp7/casc3/dhx37/arglu1a/lsm4/zcrb1/qkia",55
"GO:0032446","protein modification by small protein conjugation","85/1978","472/18773",0.180084745762712,1.70916629535055,5.35500755348914,5.17120844728219e-07,0.000166228853404782,0.000147061583715772,"mdm4/anapc11/ndfip1l/asb7/rnf25/chfr/ufc1/mkrn1/sae1/rnf170/rnf213a/dtx2/msl2b/trim3a/cdc34a/dcun1d1/mgrn1b/fbxo22/ube2a/ube2h/cul2/cdc26/spoplb/ube2l3a/dcun1d5/rnf126/rnf220a/uba5/rfwd3/vhl/pef1/hecw2a/socs3b/sumo1/msl2a/spop/rnf20/hectd1/trip12/socs3a/rnf144ab/ddb2/trim71/fbxo45/mgrn1a/cul1a/cul3b/traf6/rnf168/fbxw7/cul5a/traf2b/ubb/zbtb16a/ube2v1/tnfaip1/pias4a/ube2d2l/ube2e2/uba2/crbn/ufm1/ndfip1/arih1l/cnot4b/sumo2b/traf7/klhl20/rnf6/fbxo25/fzr1a/rnf44/rbx1/rnf181/asb4/ube2r2/ndfip2/ube3a/nedd8/asb12a/mycbp2/fbxl15/mylipa/wdr32/rnf144b",85
"GO:0007034","vacuolar transport","29/1978","103/18773",0.281553398058252,2.67219511716257,5.83998614317754,5.20006840682322e-07,0.000166228853404782,0.000147061583715772,"snapin/ndfip1l/rab7a/mgrn1b/tmem50a/vps36/ap1g1/chmp6b/igf2r/mgrn1a/vps51/vps13a/ankfy1/chmp2bb/chmp5b/ap3s2/sybl1/vps8/arl8ba/ndfip1/vps25/stam/becn1/vipas39/ndfip2/vta1/vps28/zgc:100918/mvb12a",29
"GO:0006886","intracellular protein transport","73/1978","388/18773",0.188144329896907,1.78565900159486,5.36656691332475,6.04096124583302e-07,0.000167035771708575,0.0001477754590825,"hikeshi/arf1/stxbp2/snapin/stx12/ap1b1/exoc6/os9/rab41/oaz1a/tmed7/copb1/sec23a/si:ch211-266g18.9/snx11/fam53b/uso1/pttg1ipb/clta/ap4s1/ipo8/tmed2/vps36/kpnb3/ap1g1/arl11/arf5/rab18b/selenos/erbin/wls/sh3tc2/tmed3/vps26b/vps26a/vps29/vps13a/erlec1/stx2a/timm10/fam91a1/ap4b1/ap2a1/stx5al/stx18/arl4ab/tnpo1/rab5aa/copa/stx3a/ap3b1a/nup35/rab5ab/ap1s3b/rab18a/ap3s2/vps8/vps35/rilpl2/rab14/vps25/pex5/stam/stx16/arfip2a/vipas39/rab21/vps28/ap2m1a/pex3/cse1l/vps26c/tpra",73
