"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0050900","leukocyte migration","7/144","128/18773",0.0546875,7.12950303819444,6.11773700351071,5.88833210254438e-05,0.0291912460890553,0.0260227917694274,"hsp90ab1/lgals3b/rac2/plvapb/lgals3a/rac3b/myd88",7
"GO:0001501","skeletal system development","12/144","430/18773",0.027906976744186,3.63817829457364,4.86569559237932,0.000121597513418507,0.0291912460890553,0.0260227917694274,"marcksl1a/ednraa/ext2/ponzr1/col1a1a/marcksl1b/ogna/meis1b/bicra/eif3ea/igfbp3/hmgcrb",12
"GO:0048514","blood vessel morphogenesis","12/144","448/18773",0.0267857142857143,3.49200148809524,4.69361064450948,0.000177995109725683,0.0291912460890553,0.0260227917694274,"marcksl1a/nme2b.1/kdrl/lmo2/gas6/marcksl1b/meis1b/ptena/ackr3b/gsk3ba/mb/plekhh1",12
"GO:1990266","neutrophil migration","5/144","70/18773",0.0714285714285714,9.31200396825397,6.12549052502792,0.00020081449481674,0.0291912460890553,0.0260227917694274,"lgals3b/rac2/lgals3a/rac3b/myd88",5
"GO:0060562","epithelial tube morphogenesis","9/144","267/18773",0.0337078651685393,4.39442883895131,4.91142829346339,0.000222629830629508,0.0291912460890553,0.0260227917694274,"marcksl1a/tmsb4x/ponzr1/marcksl1b/meis1b/gsk3ba/inpp5b/igfbp3/plekhh1",9
"GO:0003159","morphogenesis of an endothelium","3/144","16/18773",0.1875,24.4440104166667,8.24806272966571,0.00023004325351007,0.0291912460890553,0.0260227917694274,"marcksl1a/marcksl1b/meis1b",3
"GO:0061154","endothelial tube morphogenesis","3/144","16/18773",0.1875,24.4440104166667,8.24806272966571,0.00023004325351007,0.0291912460890553,0.0260227917694274,"marcksl1a/marcksl1b/meis1b",3
"GO:0072554","blood vessel lumenization","3/144","16/18773",0.1875,24.4440104166667,8.24806272966571,0.00023004325351007,0.0291912460890553,0.0260227917694274,"marcksl1a/marcksl1b/meis1b",3
"GO:0097530","granulocyte migration","5/144","75/18773",0.0666666666666667,8.6912037037037,5.86771640154499,0.000277722103756637,0.0291912460890553,0.0260227917694274,"lgals3b/rac2/lgals3a/rac3b/myd88",5
"GO:0001732","formation of cytoplasmic translation initiation complex","3/144","17/18773",0.176470588235294,23.0061274509804,7.98067674178898,0.00027777137281973,0.0291912460890553,0.0260227917694274,"eif3m/eif3k/eif3ea",3
