Gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,is_hippo_gene
tnnt2a,0.0269970442560001,-5.50671362660877,0,0.01,1,
si:dkey-12h9.6,0.0180143594291325,-5.11082294150982,0,0.011,1,
hrc,0.0180143594291325,-5.07458169445638,0,0.011,1,
mpx,0.008124815314117,-5.02628843678788,0,0.014,1,
BX248121.1,0.008124815314117,-4.97539576985762,0,0.014,1,
fbp1b,0.0269970442560001,-4.89496307715283,0,0.01,1,
wasa,0.0180143594291325,-4.88668317451187,0,0.011,1,
si:dkey-207m2.4.1,0.0180143594291325,-4.74191353311432,0,0.011,1,
zgc:114104,0.0269970442560001,-4.57420645148236,0,0.01,1,
mybpc2b,0.0269970442560001,-4.38344605762132,0,0.01,1,
ttbk2a,0.0269970442560001,-4.13246469520194,0,0.01,1,
si:ch211-39i2.2,0.0269970442560001,-4.07879234465754,0,0.01,1,
abi3bpb,0.0205147745829762,-3.69622642504904,0.002,0.015,1,
lyrm2,0.0398359511793666,-3.5915346972587,0.004,0.017,1,
foxl1,0.00623687099164303,-3.4435646268205,0.004,0.024,1,
pvalb5,0.0302501425251115,-3.19136336173035,0.002,0.014,1,
uraha,0.0189958071798053,-3.18305855252232,0.004,0.02,1,
EMP3,0.00634074296642769,-2.88642902514327,0.004,0.024,1,
znf143b,0.00631090753024945,-2.88476728757471,0.004,0.024,1,
ip6k1,0.0278912151117031,-2.67246745223671,0.004,0.018,1,
drll.2,0.00808850668094105,-2.60875866382837,0.006,0.027,1,
rbp4,0.00652848945144403,-2.56328718868221,0.014,0.041,1,
CABZ01064859.1,0.0279534046035109,-2.47722112425493,0.004,0.018,1,
col9a3,0.0282033593932611,-2.40636797793261,0.004,0.018,1,
lyz,1.2146956112492601e-14,-2.38502590424303,0.089,0.254,2.64840084120675e-10,
gask1a,0.00209260044708204,-2.36910563935688,0.01,0.039,1,
si:zfos-452g4.1,0.0470041681863956,-2.34993804311891,0.006,0.02,1,
zgc:136930,0.0473698637021084,-2.27106656455783,0.006,0.02,1,
myo9ab,0.0393148280051339,-2.25377222215521,0.01,0.027,1,
tshz3a,0.00548333002202059,-2.12977506687276,0.022,0.053,1,
glt8d2,0.001823518074836,-2.12784328162288,0.008,0.036,1,
acer2,0.0474616604921763,-2.11606124667048,0.006,0.02,1,
adgrg6,0.00853169872475824,-2.05095139198198,0.006,0.027,1,
BX571811.2,0.0306617727979102,-1.94755460136092,0.014,0.034,1,
her6,0.012399248069713001,-1.916005229701,0.012,0.035,1,
capzb,0.0294037607420718,-1.88567052904544,0.01,0.028,1,
uacaa,3.11464488619884e-5,-1.81139203051848,0.048,0.114,0.679086024537933,
cavin1b,9.29884078742074e-9,-1.73285120436528,0.091,0.206,2.0274262568813e-4,hippo target
si:rp71-36a1.3,0.0458536747100028,-1.66652372365566,0.002,0.013,1,
krt5,0.0316457609956465,-1.65002630688021,0.065,0.094,1,
fstl1a,0.00445782762828866,-1.60633563536787,0.034,0.072,1,
bcar1,2.8406382815440598e-12,-1.59642130543899,0.198,0.342,6.1934436452505e-8,
yap1,1.4838472258084e-6,-1.57055193310797,0.123,0.213,0.0323523210643005,hippo target
tox,0.0295948957479504,-1.47877430117111,0.028,0.053,1,
meox1,0.00402574887945363,-1.43746948930784,0.073,0.118,1,hippo target
cdh2,0.0228813854374337,-1.42029924069269,0.038,0.067,1,
ackr4b,0.00202381676068953,-1.38288289218611,0.099,0.151,1,
rpz5,0.0179257171059932,-1.35677573506533,0.032,0.062,1,
ogna,2.10445410683601e-5,-1.35491979110635,0.113,0.196,0.458834128913455,
gata5,0.0300305987673366,-1.35328044444358,0.03,0.056,1,
si:ch211-161c3.6,0.00813906686562016,-1.31246515886461,0.044,0.081,1,
krtt1c19e,0.0262619095951173,-1.12728894782466,0.149,0.181,1,
icn,0.00306413167807769,-1.08773554160572,0.339,0.37,1,
amotl2b,7.3079190067115e-4,-1.08288779019118,0.129,0.194,1,hippo target
CT033796.2,0.0125165142369217,-1.03736582036465,0.05,0.087,1,
bhmt,0.0286908931612815,-0.951984608288313,0.133,0.167,1,
ccn1,0.0187987083228252,-0.927146815500676,0.21,0.251,1,hippo target
ehd2b,0.0062226433983649,-0.886454240198682,0.151,0.198,1,
cyt1,3.4353756274609e-4,-0.860361086938861,0.419,0.429,1,
edn2,2.47317332242061e-6,-0.812905644121798,0.446,0.539,0.0539225979487366,
si:ch211-39k3.2,0.0115641565943678,-0.811072255802203,0.452,0.426,1,
cyt1l,0.0138971165424405,-0.798498663422002,0.375,0.369,1,
slc29a1a,0.00321059405173352,-0.79379584857144,0.377,0.411,1,
nrarpa,0.0113076675049422,-0.772606135196598,0.254,0.288,1,
krt4,7.29355301234476e-9,-0.755337773151334,0.671,0.684,1.5902133632815e-4,
thbs1b,0.00285083173132216,-0.718827683107362,0.319,0.367,1,
frem1b,0.0215158787803995,-0.69834182743063,0.248,0.278,1,
lyve1b,1.7037793579068001e-18,-0.678352909756142,0.891,0.886,3.7147501340442e-14,
id2b,0.0111057510503092,-0.667080761705783,0.53,0.518,1,
id3,0.0379593844871423,-0.659997137251548,0.274,0.297,1,
ccn2a,1.24330778419763e-6,-0.643897020047732,0.595,0.668,0.027107839618861,hippo target
aqp1a.1,1.1567121458274e-9,-0.626362817119735,0.794,0.837,2.52197949154748e-5,
lgals3b,2.8800582761607e-4,-0.62209182563559,0.399,0.438,1,
dusp1,2.5712598678706e-4,-0.599110806888373,0.565,0.568,1,
edn1,7.44069341801187e-7,-0.574837845137291,0.708,0.769,0.0162229438592913,
zgc:153409,1.49540834803315e-5,-0.553531464380156,0.573,0.593,0.326043882121669,
amotl2a,1.62724105973192e-5,-0.550536590388458,0.605,0.619,0.35478736825335,hippo target
cast,0.00134759673617923,-0.534354713613042,0.49,0.494,1,
klf7b,0.0194204084316231,-0.507321593302328,0.401,0.401,1,
si:dkey-261h17.1,1.49460470417789e-6,-0.50520282967469,0.776,0.752,0.0325868663651906,
adipor2,0.00237653266717648,-0.444971127166375,0.55,0.564,1,
dap1b,0.00431331417890805,-0.424954726274605,0.71,0.649,1,
zgc:162730,0.00108290653246836,-0.420837263068691,0.508,0.543,1,
limch1b,0.00460624396441144,-0.416422618071101,0.548,0.548,1,
adma,0.0396131122980866,-0.396844301852362,0.597,0.588,1,
sparc,0.0231020836529647,-0.391013637867282,0.623,0.589,1,
pmp22b,0.00759325919028944,-0.387646923828985,0.778,0.739,1,
LO018188.1,0.0360391462362496,-0.383227411301235,0.431,0.442,1,
plvapb,0.00365534808247265,-0.362779286639742,0.742,0.734,1,
zgc:153867,1.94842141929957e-11,-0.355619682559212,0.984,0.976,4.24814322049885e-7,
hif1al,0.0105160686605618,-0.355466709560255,0.696,0.621,1,
krt18a.1,1.03402961353366e-14,-0.328068431045183,0.998,0.999,2.25449476638744e-10,
bsg,5.9851646290749e-4,-0.327865330824463,0.944,0.879,1,
gstt1b,0.00799801617386144,-0.319830898632273,0.752,0.684,1,
mt-co1,1.0973056694214e-8,-0.317420890488584,0.964,0.955,2.3924555510394e-4,
si:dkeyp-97a10.2,0.016088903096184302,-0.315099348035167,0.776,0.712,1,
krt8,1.6071571844889e-13,-0.314321624305002,0.998,0.994,3.50408480934115e-9,
rpl37.1,4.49406091022166e-17,-0.305109702673414,1,0.997,9.79840100255628e-13,
midn,0.00259968433601998,-0.300162266187926,0.657,0.662,1,
actb2,1.2414486476114e-9,-0.271033727772321,1,1,2.70673048638714e-5,
pnrc2,2.72033309886988e-5,-0.265494346492634,0.907,0.889,0.5931142255466,
krt18b,0.014606342305273,-0.261703392401182,0.675,0.64,1,
kdrl,1.8487611479412e-4,-0.260320635539299,0.938,0.921,1,
si:dkeyp-69b9.6,0.0287583835995162,-0.259553920985316,0.117,0.073,1,
mapre1a,0.0490569734925908,-0.245669906424223,0.127,0.084,1,
fosb,0.0476202428003063,-0.24100378848678,0.698,0.679,1,
cavin2b,0.0272979801994457,-0.232633767676436,0.738,0.673,1,hippo target
cnn2,0.0153747777636013,-0.22858405016646,0.77,0.707,1,
med7,0.0281060000881036,-0.222289751959357,0.109,0.067,1,
hoxb2a,0.0368897161964618,-0.206640080911086,0.062,0.035,1,
